,loss
612,0.24618174
613,7.671197e-06
614,9.640317e-05
615,0.00080263166
616,4.370294e-06
617,3.4874308e-06
618,0.252609
619,4.1820527e-05
620,0.0016690064
621,0.0028376444
622,0.00030246133
623,0.25008723
624,0.00050011865
625,0.0001279783
626,0.2404227
627,0.0006009711
628,0.00093112857
629,0.000275573
630,0.00010778768
631,0.000639042
632,3.954018e-05
633,0.0001749741
634,0.0019736288
635,7.571278e-05
636,0.00040213234
637,0.00023410606
638,0.0006995567
639,0.24766529
640,0.003351796
641,8.678192e-05
642,0.003101795
643,0.0015208196
644,0.0002216933
645,0.00021805784
646,1.6529466e-05
647,7.233231e-06
648,8.189086e-06
649,9.997582e-05
650,0.0026399924
651,0.00041932054
652,0.00014964327
653,1.179523e-05
654,9.8570774e-05
655,0.00014160691
656,1.6946646e-05
657,4.349602e-05
658,0.00015955942
659,6.731996e-05
660,0.002357832
661,0.2134619
662,0.246814
663,0.0030272873
664,1.1568574e-05
665,0.0016155597
666,0.25110993
667,5.2906205e-05
668,1.7838696e-05
669,9.912643e-05
670,0.003348437
671,3.4974222e-05
672,0.003806502
673,9.4587536e-05
674,2.1270711e-05
675,2.8590342e-05
676,2.2441258e-05
677,2.2694048e-05
678,0.0029589427
679,6.9451526e-06
680,8.125726e-06
681,0.00096275227
682,3.0240879e-05
683,1.0961401e-05
684,0.00034897047
685,0.0017675853
686,7.5296257e-06
687,2.4261471e-05
688,1.1094982e-05
689,4.711631e-06
690,4.1191574e-06
691,2.0333384e-05
692,4.0355476e-06
693,8.257894e-06
694,0.0035402337
695,1.7504164e-05
696,3.5658743e-06
697,1.0230855e-05
698,3.5085056e-06
699,8.210631e-06
700,1.7470747e-05
701,0.20305306
702,1.3247138e-06
703,1.0846384e-05
704,9.2104696e-05
705,1.7781218e-05
706,3.688813e-05
707,2.9864134e-07
708,1.7367955e-05
709,6.021526e-06
710,5.207632e-06
711,0.19379339
712,0.00357868
713,7.0526476e-05
714,1.2027668e-06
715,3.916218e-06
716,1.5400085e-05
717,1.7169568e-05
718,1.6513342e-05
719,7.7210655e-07
720,1.5395585e-06
721,0.00010610201
722,3.3734264e-05
723,0.25403216
724,0.19013248
725,6.291459e-05
726,1.2163127e-05
727,0.0010709746
728,0.00014052505
729,5.442765e-06
730,2.526112e-05
731,8.531308e-06
732,2.6564783e-05
733,1.9169694e-05
734,4.9003147e-06
735,3.094496e-05
736,3.25784e-05
737,2.3812017e-06
738,1.086858e-05
739,0.00020993456
740,6.589311e-06
741,0.004410889
742,0.0039999727
743,0.0013857272
744,5.1873885e-06
745,6.770777e-06
746,4.4651774e-06
747,1.8877828e-06
748,0.0036485726
749,0.24745551
750,0.00048235463
751,0.0029068075
752,0.00051903736
753,0.00020588894
754,1.002717e-05
755,6.203422e-05
756,7.295408e-06
757,5.4296204e-05
758,4.8237996e-07
759,0.00015414829
760,0.00043164202
761,0.0012552973
762,4.852986e-06
763,4.462409e-05
764,0.20364241
765,0.00011987578
766,1.4288949e-05
767,6.303525e-06
768,0.0015681833
769,0.00013367727
770,5.0267445e-06
771,0.0036102545
772,2.145311e-05
773,0.19652031
774,1.1300027e-05
775,1.3275407e-05
776,8.410175e-06
777,0.25035512
778,5.4207652e-05
779,4.3619375e-06
780,3.4059944e-05
781,0.43125123
782,0.00013067824
783,0.009567499
784,0.1881645
785,3.378543e-05
786,0.00016927217
787,0.004713328
788,0.0029286258
789,0.18358827
790,2.7300055e-05
791,0.17603312
792,0.24500675
793,0.0063194926
794,0.0017682263
795,0.00010109219
796,0.0002155145
797,0.0017544015
798,0.00018855135
799,0.0002818155
800,0.0027993757
801,0.18054254
802,0.0006893884
803,0.000108059394
804,7.9871694e-05
805,4.3389526e-05
806,0.00010080215
807,0.24723306
808,6.177362e-05
809,7.730855e-05
810,0.004576306
811,0.00011104481
812,5.7309408e-05
813,1.3735207e-05
814,0.1893717
815,0.0022479934
816,7.999551e-06
817,5.8515285e-05
818,0.2446963
819,0.00042008806
820,0.00011567071
821,7.8781326e-05
822,7.995436e-05
823,0.000106404405
824,0.00075536047
825,0.001275714
826,0.0006134992
827,1.2483358e-06
828,1.941865e-05
829,5.3520736e-05
830,0.00089157914
831,0.00013328544
832,1.0138669e-05
833,5.6020555e-05
834,2.5097088e-05
835,1.0296051e-05
836,0.00015832132
837,0.00049039687
838,7.0410555e-05
839,0.0021725942
840,4.8526184e-05
841,0.0058807516
842,9.481389e-07
843,0.00078631716
844,0.000118198455
845,1.2501883e-05
846,1.3266206e-05
847,6.2097904e-05
848,0.0014524028
849,0.002495062
850,0.19566642
851,0.23582543
852,0.23800418
853,0.0015658237
854,0.0014053048
855,0.005811074
856,0.0012219722
857,0.0004037558
858,0.0010348657
859,0.00017072135
860,0.00027569925
861,0.005058626
862,0.00016714307
863,0.0014908538
864,0.000296871
865,0.00018358749
866,9.258749e-06
867,0.00020951637
868,9.99095e-05
869,0.00023256324
870,5.202091e-05
871,1.7778046e-05
872,1.9783844e-05
873,1.2298395e-05
874,1.0725478e-05
875,0.00026071566
876,0.0031533136
877,0.00031417835
878,0.0005062374
879,0.00045042712
880,4.8078295e-05
881,0.25042146
882,0.0005020963
883,0.00029414703
884,0.0012510843
885,0.0011565792
886,0.0001261312
887,0.00096654764
888,0.0003430167
889,6.4837324e-05
890,0.00013951608
891,5.2334588e-05
892,0.00021055317
893,8.6813325e-06
894,3.1977295e-05
895,5.169686e-05
896,1.3161474e-05
897,5.5481382e-06
898,9.6443444e-05
899,0.00010249305
900,1.3094005e-05
901,0.00042331425
902,0.25276652
903,0.00018103272
904,0.00034531948
905,0.0018212156
906,0.00047367567
907,7.58646e-05
908,4.3724913e-06
909,9.868205e-06
910,0.0004511374
911,0.0008956674
912,5.1682262e-05
913,5.5438584e-05
914,1.81169e-05
915,0.00051769544
916,2.2308626e-05
917,0.24491258
918,0.0015065157
919,0.0020803467
920,0.0003472939
921,0.0010130076
922,0.22490764
923,0.0012157724
924,0.00079632143
925,0.0001778117
926,0.0006631218
927,0.000112189635
928,0.0045154886
929,0.00037997673
930,0.25663525
931,0.0019270858
932,0.0012478584
933,0.0015154716
934,0.001276416
935,7.581372e-05
936,0.0005078538
937,0.00043799213
938,0.0006819265
939,0.0004449431
940,4.1887488e-05
941,0.0014232475
942,0.0003304935
943,0.0003481598
944,0.00028094088
945,6.76158e-05
946,0.0001212682
947,5.789962e-05
948,5.7037232e-05
949,0.00010328321
950,5.2692718e-05
951,5.000501e-05
952,0.0014519555
953,0.23200235
954,0.00042802707
955,0.0002957804
956,0.0007552301
957,0.00016626925
958,0.00029604178
959,0.00028069384
960,6.889148e-05
961,0.00019333864
962,0.00040769164
963,0.0010120241
964,0.0012927793
965,0.00012492843
966,0.00042369665
967,0.00027630854
968,0.0002994643
969,0.00026058545
970,7.635855e-05
971,9.442456e-05
972,2.5033505e-05
973,0.000562726
974,4.8149013e-05
975,0.00037805678
976,1.8553546e-05
977,8.822358e-06
978,0.00076130754
979,0.00013640897
980,0.00037985784
981,3.9474264e-05
982,0.00013771822
983,8.197049e-05
984,7.085195e-05
985,0.00014946508
986,1.3099836e-05
987,1.1776153e-05
988,8.492143e-06
989,8.79666e-05
990,0.23887926
991,5.438898e-05
992,0.0010821172
993,7.964967e-05
994,2.1735836e-05
995,4.035777e-06
996,2.0223188e-06
997,0.00011720425
998,0.00015412329
999,1.695476e-05
1000,0.00018953015
1001,0.0002751798
1002,1.8815439e-05
1003,0.000239938
1004,0.00016021235
1005,5.1027797e-05
1006,0.2701114
1007,0.00034365238
1008,0.0007645718
1009,1.2375055e-05
1010,0.00012574537
1011,0.00044408187
1012,0.000247051
1013,0.00012860866
1014,4.2124717e-05
1015,5.332588e-05
1016,2.3456123e-06
1017,0.23837516
1018,0.0012736584
1019,0.0018532638
1020,0.00045420157
1021,0.00076083327
1022,0.0011394669
1023,0.00051214267
1024,0.00019382106
1025,0.0010268555
1026,0.00031238163
1027,0.00011469235
1028,0.2374972
1029,0.0012291886
1030,0.0018385404
1031,0.0016487567
1032,0.00039292165
1033,0.00064897694
1034,0.000759999
1035,0.0006289178
1036,0.00037673666
1037,0.00041067926
1038,0.0014319973
1039,0.0002859561
1040,0.00042964114
1041,0.00014566621
1042,7.471224e-05
1043,0.0001532643
1044,6.5848646e-05
1045,0.0010280055
1046,0.00021752865
1047,0.0006515271
1048,0.00010016003
1049,6.152374e-05
1050,9.348246e-05
1051,0.0001491768
1052,4.337669e-05
1053,0.0001108298
1054,4.8541988e-05
1055,0.2566134
1056,0.0001780139
1057,0.00046884053
1058,0.21983844
1059,0.0002257627
1060,7.6719254e-05
1061,0.002361839
1062,0.00015985714
1063,0.00021864139
1064,0.0017611881
1065,0.00030804475
1066,0.0011812852
1067,0.0027192028
1068,0.00029751635
1069,0.0019705668
1070,0.00053634075
1071,0.00010702267
1072,1.912989e-05
1073,0.0029092573
1074,0.00032667693
1075,6.649623e-05
1076,0.0001293033
1077,4.6949117e-05
1078,2.7307997e-05
1079,0.002422255
1080,5.5661323e-05
1081,0.0001120625
1082,4.0310697e-05
1083,9.012043e-05
1084,0.0019137976
1085,0.00023282539
1086,0.00014699767
1087,2.2348759e-05
1088,6.515839e-05
1089,3.9456794e-05
